epoch,accuracy,loss,val_accuracy,val_loss
0,0.29028570652008057,1.8711833953857422,0.3266666531562805,1.4021272659301758
1,0.41200000047683716,1.4210952520370483,0.2980000078678131,1.3393263816833496
2,0.5701428651809692,1.0761373043060303,0.6079999804496765,0.9167003035545349
3,0.6669999957084656,0.8506309986114502,0.5406666398048401,1.0502601861953735
4,0.7450000047683716,0.6588560342788696,0.7946666479110718,0.5545423030853271
5,0.7825714349746704,0.5842762589454651,0.6733333468437195,0.7119331955909729
6,0.8247143030166626,0.4889991283416748,0.8706666827201843,0.36406299471855164
7,0.8389999866485596,0.4388410151004791,0.8913333415985107,0.30717748403549194
8,0.8587142825126648,0.4034323990345001,0.8066666722297668,0.5592436790466309
9,0.8650000095367432,0.3790159523487091,0.8259999752044678,0.4801977276802063
10,0.8772857189178467,0.35033270716667175,0.8686666488647461,0.3828737735748291
11,0.8808571696281433,0.33435237407684326,0.871999979019165,0.35469192266464233
12,0.8884285688400269,0.3084059953689575,0.8240000009536743,0.4803125262260437
13,0.8901428580284119,0.3040994107723236,0.8573333621025085,0.3692912459373474
14,0.895714282989502,0.29777759313583374,0.8613333106040955,0.432852566242218
15,0.8971428275108337,0.2903614640235901,0.9020000100135803,0.2576044797897339
16,0.9048571586608887,0.2690272629261017,0.9126666784286499,0.2539586126804352
17,0.9058571457862854,0.2726347744464874,0.8666666746139526,0.4835585653781891
18,0.9104285836219788,0.24965320527553558,0.8973333239555359,0.3467603623867035
19,0.9157142639160156,0.2433881014585495,0.8353333473205566,0.41318005323410034
20,0.9139999747276306,0.2474009096622467,0.8946666717529297,0.3430442810058594
21,0.9222857356071472,0.22521334886550903,0.9086666703224182,0.2739609479904175
22,0.9184285998344421,0.2331114113330841,0.8999999761581421,0.2791990339756012
23,0.9247142672538757,0.2165411412715912,0.8866666555404663,0.45278018712997437
24,0.9197142720222473,0.22223828732967377,0.8893333077430725,0.3439391255378723
25,0.9268571138381958,0.2073965221643448,0.8740000128746033,0.3464381992816925
26,0.9324285984039307,0.20282317698001862,0.8619999885559082,0.4848482310771942
27,0.9330000281333923,0.19854894280433655,0.8946666717529297,0.3559213876724243
28,0.9352856874465942,0.18752270936965942,0.9160000085830688,0.23220817744731903
29,0.9378571510314941,0.18307232856750488,0.9046666622161865,0.3392236828804016
30,0.9368571639060974,0.18644101917743683,0.8759999871253967,0.3610093891620636
31,0.9395714402198792,0.17340490221977234,0.9120000004768372,0.26093190908432007
32,0.9424285888671875,0.1664525866508484,0.9213333129882812,0.2705768644809723
33,0.944428563117981,0.15557438135147095,0.9173333048820496,0.2869342565536499
34,0.9401428699493408,0.16650335490703583,0.887333333492279,0.3405042588710785
35,0.9452857375144958,0.1604570597410202,0.9206666946411133,0.24251042306423187
36,0.9472857117652893,0.15031234920024872,0.9006666541099548,0.28855031728744507
37,0.948285698890686,0.15081951022148132,0.9179999828338623,0.28605055809020996
38,0.952571451663971,0.1332683265209198,0.9086666703224182,0.33393433690071106
39,0.9504285454750061,0.1411605179309845,0.9200000166893005,0.2970218360424042
40,0.9551428556442261,0.12904438376426697,0.9173333048820496,0.2761690318584442
41,0.9554286003112793,0.12934522330760956,0.9126666784286499,0.27878186106681824
42,0.9548571705818176,0.12200611084699631,0.8993333578109741,0.3918364644050598
43,0.9565714001655579,0.13595125079154968,0.9053333401679993,0.36847081780433655
44,0.9552857279777527,0.12366260588169098,0.9066666960716248,0.3449757397174835
45,0.9599999785423279,0.11547210812568665,0.9233333468437195,0.2617838382720947
46,0.9531428813934326,0.13365967571735382,0.8886666893959045,0.4497847557067871
47,0.9642857313156128,0.10422223806381226,0.9153333306312561,0.27559682726860046
48,0.9599999785423279,0.11437418311834335,0.8980000019073486,0.38538968563079834
49,0.9654285907745361,0.0963987186551094,0.8833333253860474,0.4708040654659271
