epoch,accuracy,loss,val_accuracy,val_loss
0,0.3359285593032837,1.652292013168335,0.37466666102409363,1.4301344156265259
1,0.5670714378356934,1.0381691455841064,0.5173333287239075,1.3417860269546509
2,0.6918571591377258,0.790442943572998,0.7210000157356262,0.7430001497268677
3,0.7842142581939697,0.5856318473815918,0.8036666512489319,0.5532267093658447
4,0.8313571214675903,0.46642592549324036,0.7053333520889282,0.7224435210227966
5,0.8595714569091797,0.3959032893180847,0.7716666460037231,0.6299159526824951
6,0.8782142996788025,0.344475120306015,0.8076666593551636,0.580748975276947
7,0.8913571238517761,0.32195621728897095,0.8236666917800903,0.5623341798782349
8,0.8964999914169312,0.3012401759624481,0.8579999804496765,0.4884258210659027
9,0.9007856845855713,0.29188454151153564,0.7870000004768372,0.6760945916175842
10,0.911214292049408,0.2668840289115906,0.847000002861023,0.5361430048942566
11,0.9139285683631897,0.2550419867038727,0.8709999918937683,0.4324527084827423
12,0.9191428422927856,0.2424367517232895,0.8999999761581421,0.3169996738433838
13,0.9177142977714539,0.2418002337217331,0.8696666955947876,0.4130617380142212
14,0.9222857356071472,0.22812585532665253,0.7883333563804626,0.8591454029083252
15,0.9227142930030823,0.23372116684913635,0.8573333621025085,0.49720415472984314
16,0.9254999756813049,0.22595526278018951,0.8933333158493042,0.34766173362731934
17,0.9280714392662048,0.21800561249256134,0.8679999709129333,0.48168420791625977
18,0.9279999732971191,0.21186745166778564,0.8603333234786987,0.5694711208343506
19,0.930571436882019,0.20749765634536743,0.8849999904632568,0.3627053499221802
20,0.9332143068313599,0.20531390607357025,0.8399999737739563,0.6614183187484741
21,0.9342142939567566,0.1908101588487625,0.8840000033378601,0.3827306628227234
22,0.9348571300506592,0.19535508751869202,0.8663333058357239,0.46297118067741394
23,0.9359285831451416,0.19359570741653442,0.8679999709129333,0.5288820862770081
24,0.94092857837677,0.18266740441322327,0.8416666388511658,0.6698412895202637
25,0.9375,0.19645871222019196,0.8303333520889282,0.6065733432769775
26,0.9402857422828674,0.1825041025876999,0.8963333368301392,0.3176819682121277
27,0.94092857837677,0.17924818396568298,0.8560000061988831,0.5854090452194214
28,0.9390714168548584,0.18503469228744507,0.8043333292007446,1.0799813270568848
29,0.942642867565155,0.1708749234676361,0.815666675567627,0.788323163986206
30,0.9436428546905518,0.17380855977535248,0.8536666631698608,0.5733997225761414
31,0.943142831325531,0.16808345913887024,0.8769999742507935,0.4902081787586212
32,0.9465000033378601,0.16484543681144714,0.8756666779518127,0.5010314583778381
33,0.946142852306366,0.16655543446540833,0.8756666779518127,0.4936832785606384
34,0.9477142691612244,0.16353552043437958,0.875,0.48531192541122437
35,0.9470000267028809,0.1655164510011673,0.871666669845581,0.4558084011077881
36,0.9474285840988159,0.1616251915693283,0.8096666932106018,0.8162574172019958
37,0.9507856965065002,0.15316350758075714,0.8550000190734863,0.6478185057640076
38,0.9505000114440918,0.15161734819412231,0.8709999918937683,0.6021854877471924
39,0.9486428499221802,0.15905208885669708,0.8809999823570251,0.4722807705402374
40,0.9509285688400269,0.14979583024978638,0.8696666955947876,0.4593960642814636
41,0.9535714387893677,0.14500102400779724,0.8840000033378601,0.4396781921386719
42,0.9520000219345093,0.1428983509540558,0.862666666507721,0.5588306188583374
43,0.9507856965065002,0.14806021749973297,0.8656666874885559,0.4784867763519287
44,0.9521428346633911,0.1429673582315445,0.8956666588783264,0.3574593961238861
45,0.9544285535812378,0.1394246518611908,0.8943333625793457,0.37232986092567444
46,0.9554286003112793,0.13743016123771667,0.9053333401679993,0.3659803569316864
47,0.9530714154243469,0.14255647361278534,0.9200000166893005,0.2781444489955902
48,0.9538571238517761,0.1428845375776291,0.8566666841506958,0.6105777025222778
49,0.9580714106559753,0.13071104884147644,0.8849999904632568,0.43171602487564087
