epoch,accuracy,loss,val_accuracy,val_loss
0,0.6540384888648987,0.918509304523468,0.5674999952316284,0.9382562041282654
1,0.7711538672447205,0.5557863116264343,0.6875,1.4271961450576782
2,0.7978846430778503,0.4751562178134918,0.6474999785423279,0.9598936438560486
3,0.811346173286438,0.4393463730812073,0.5224999785423279,2.4300789833068848
4,0.8305768966674805,0.4043301045894623,0.7412499785423279,0.6460015177726746
5,0.8369230628013611,0.38587814569473267,0.6037499904632568,0.9154853820800781
6,0.8486538529396057,0.36822813749313354,0.8600000143051147,0.35537269711494446
7,0.858846127986908,0.3380485773086548,0.5924999713897705,0.8965315222740173
8,0.8675000071525574,0.3202286958694458,0.8012499809265137,0.6177557706832886
9,0.8451923131942749,0.3864811658859253,0.7562500238418579,0.5708045363426208
10,0.8801922798156738,0.29859688878059387,0.7362499833106995,0.5952683687210083
11,0.88692307472229,0.286863774061203,0.7599999904632568,0.5451679825782776
12,0.8838461637496948,0.2853432297706604,0.4737499952316284,1.1452362537384033
13,0.8834615349769592,0.28102540969848633,0.8224999904632568,0.5318936109542847
14,0.8907692432403564,0.2813880443572998,0.6100000143051147,1.0449864864349365
15,0.9051923155784607,0.23863689601421356,0.25,4.841190338134766
16,0.9005769491195679,0.2514631748199463,0.2512499988079071,4.107593059539795
17,0.8932692408561707,0.2785748541355133,0.4962500035762787,1.4135932922363281
18,0.8999999761581421,0.24259690940380096,0.3400000035762787,2.242872714996338
19,0.9117307662963867,0.2282833456993103,0.8324999809265137,0.430960476398468
20,0.9146153926849365,0.2154906690120697,0.7662500143051147,0.6223770976066589
21,0.9125000238418579,0.2162417322397232,0.7674999833106995,0.5290345549583435
22,0.9144230484962463,0.22478973865509033,0.8050000071525574,0.6529412865638733
23,0.9125000238418579,0.21863891184329987,0.9212499856948853,0.2104746401309967
24,0.920192301273346,0.2066502571105957,0.8774999976158142,0.30523940920829773
25,0.9151923060417175,0.21825192868709564,0.8987500071525574,0.3246261477470398
26,0.9180769324302673,0.21004654467105865,0.8799999952316284,0.2990521490573883
27,0.9280769228935242,0.19379346072673798,0.6487500071525574,0.9689478278160095
28,0.9265384674072266,0.19342945516109467,0.9350000023841858,0.17607098817825317
29,0.9259615540504456,0.1947685033082962,0.8662499785423279,0.367682546377182
30,0.9301922917366028,0.18145477771759033,0.9225000143051147,0.21944254636764526
31,0.9313461780548096,0.1820743829011917,0.8550000190734863,0.3426860570907593
32,0.9323077201843262,0.1717657595872879,0.9212499856948853,0.2159234881401062
33,0.9317307472229004,0.1796397566795349,0.6837499737739563,0.7913167476654053
34,0.9346153736114502,0.1782231628894806,0.7662500143051147,0.608879566192627
35,0.9259615540504456,0.2009398192167282,0.6200000047683716,0.9462271928787231
36,0.9296153783798218,0.1850488930940628,0.9262499809265137,0.21606990694999695
37,0.9290384650230408,0.18325011432170868,0.9012500047683716,0.25142672657966614
38,0.9401922821998596,0.16137145459651947,0.4325000047683716,1.695279836654663
39,0.9346153736114502,0.17362052202224731,0.8974999785423279,0.2472660392522812
40,0.936923086643219,0.1586851328611374,0.6887500286102295,0.8747839331626892
41,0.9415384531021118,0.1520286351442337,0.7962499856948853,0.5027168989181519
42,0.942307710647583,0.14908954501152039,0.8187500238418579,0.41926270723342896
43,0.942884624004364,0.14789684116840363,0.800000011920929,0.5412577986717224
44,0.9419230818748474,0.15256305038928986,0.9112499952316284,0.2451278567314148
45,0.9436538219451904,0.14172708988189697,0.8700000047683716,0.3203178644180298
46,0.948846161365509,0.1402333825826645,0.9312499761581421,0.1788872331380844
47,0.948269248008728,0.13178017735481262,0.8862500190734863,0.26664936542510986
48,0.9330769181251526,0.1823309361934662,0.8037499785423279,0.5312144756317139
49,0.9394230842590332,0.1630462110042572,0.7975000143051147,0.4772211015224457
